"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"1841","DHI Group Inc","DHX","20202010",1132993,139,14,278,67,35,0,142,15,6,108.94563,0,"Yes"
"1842","CorMedix Inc.","CRMD","35202010",1132997,18,0,31,0,0,0,0,28,-55,375.5459346372,0,"Yes"
"1843","Construction Partners Inc","ROAD","20103010",1133000,868,735,176,447,4,8,48,0,22,1499.66509230081,0,"Yes"
"1844","Brundage-Bone Concrete Pmpg Hldg Inc","BBCP","20103010",1133002,308,162,84,318,222,10,276,0,0,182.5388824372,0,"Yes"
"1845","Comstock Resources Inc","CRK","10102020",1133003,1300,299,91,4555,0,3,335,0,330,1318.4581646656,0.0056,"No"
"1846","COMSCORE  Inc.","SCOR","50201010",1133004,372,186,491,213,66,23,348,50,35,179.05191909482,0,"Yes"
"1847","Chiasma Inc","CHMA","35202010",1133006,34,0,56,2,0,0,0,55,0,300.78262011115,0,"Yes"
"1848","Brigham Minerals Inc","MNRL","10102020",1133014,106,0,69,902,0,0,0,0,-150,731.4391644,0,"No"
"1849","Bloom Energy Corp","BE","20104020",1133015,1022,772,469,707,0,34,0,77,0,3410.1963232064,2e-04,"Yes"
"1850","BioXcel Therapeutics Inc","BTAI","35201010",1133016,0,0,30,2,0,0,0,88,0,1149.60015572618,0,"Yes"
"1851","BioSig Technologies Inc","BSGM","35101010",1133017,9,0,76,1,0,0,0,11,0,113.86532865107,0,"Yes"
"1852","BioLife Solutions Inc","BLFS","35101020",1133018,69,30,38,14,21,0,33,7,5,787.558341,0,"Yes"
"1853","BioDelivery Sciences International  Inc.","BDSI","35202010",1133019,191,29,241,7,51,0,2,0,53,479.39769548783,0,"Yes"
"1854","Bandwidth Inc","BAND","50101020",1133021,451,227,267,105,6,0,6,55,-1,4260.3352589856,0,"Yes"
"1855","Axsome Therapeutics Inc","AXSM","35201010",1133022,7,0,40,0,0,0,0,124,-111,3128.67901394507,0,"Yes"
"1856","Axcella Health Inc","AXLA","35201010",1133023,0,0,34,4,0,1,0,54,-63,215.53300828518,0,"Yes"
"1857","Apyx Medical Corp","APYX","35101020",1133027,38,12,82,12,0,0,0,3,-17,280.31242671028,0.1023,"Yes"
"1858","Appian Corp","APPN","45103020",1133028,338,98,447,73,0,2,0,68,-6,10698.9041040579,0,"Yes"
"1859","Anavex Life Sciences Corp","AVXL","35201010",1133029,0,0,12,0,0,0,0,0,0,325.54280221286,0,"Yes"
"1860","American Superconductor Corporation","AMSC","20104010",1133030,87,67,69,38,3,0,1,11,-27,456.360593544,0,"Yes"
"1861","American Finance Trust Inc","AFIN","60101040",1133031,331,87,106,4420,0,18,0,0,-595,807.555507,0,"Yes"
"1862","Alphatec Holdings Inc","ATEC","35101010",1133033,178,48,274,106,30,1,16,18,-37,887.52213137199,0,"Yes"
"1863","Akoustis Technologies Inc","AKTS","45301020",1133034,9,2,26,30,0,0,0,24,-73,301.75694193425,0,"Yes"
"1864","Affimed NV","AFMD","35201010",1133036,28,1,33,0,0,0,0,13,-15,577.14446024168,0,"Yes"
"1865","AcelRx Pharmaceuticals Inc","ACRX","35201010",1133038,25,7,99,30,0,0,0,4,-73,133.22238003577,0,"Yes"
"1866","Altice USA Inc","ATUS","50101020",1139042,10140,3360,683,10656,17403,365,8101,0,2644,17406.5506717162,0.6131,"Yes"
"1867","BrightSphere Investment Group Inc","BSIG","40203010",1139046,653,0,1840,151,71,16,302,0,153,1264.85324088973,0,"Yes"
"1868","Lifetime Brands Inc","LCUT","25201040",1139049,779,496,682,288,330,63,70,0,52,305.93594881415,0,"Yes"
"1869","Nordic American Tanker Ltd","NAT","10102040",1139117,217,130,32,1387,0,0,0,0,-21,522.5126286912,0,"No"
"1870","VICI Properties Inc","VICI","60101080",1139142,1414,44,141,77,0,0,0,0,1376,14160.9334917107,0.0051,"Yes"
"1871","Equitable Holdings Inc","EQH","40203030",1139143,13613,0,4097,0,363,25,4627,0,0,11147.6418595958,1,"Yes"
"1872","Liberty Sirius XM Group","LSXMA","50201020",1139144,8172,3876,3725,2966,11465,0,15803,0,2430,17156.5725981804,0.8995,"Yes"
"1873","BOSTON OMAHA Corp","BOMN","50201010",1139146,49,11,67,121,49,2,162,0,1,621.32361956765,0,"Yes"
"1874","Groupon Inc","GRPN","25503020",1139148,942,451,3214,555,33,18,309,0,-88,1819.4008379663,0,"Yes"
"1875","Liberty Braves Group","BATRA","50201020",1139152,394,0,299,885,177,0,180,0,-155,1345.49973490152,0,"Yes"
"1876","American Public Education  Inc.","APEI","25302020",1139153,402,150,418,212,3,0,26,0,38,493.34307454597,0,"Yes"
"1877","ExOne Co","XONE","20106020",1146562,65,46,63,60,0,0,0,11,-7,230.61778674376,0,"Yes"
"1878","Workhorse Group Inc","WKHS","25102010",1146563,143,45,34,251,0,0,0,64,-2694,2451.39305479223,0,"Yes"
"1879","Sapiens International Corporation N.V.","SPNS","45103020",1146573,421,233,176,118,73,26,216,48,62,1574.17929000343,0,"Yes"
"1880","Selecta Biosciences Inc","SELB","35201010",1146575,41,0,54,8,0,0,0,49,-66,371.77881084115,0,"Yes"
"1881","Park City Group  Inc.","PCYG","45103020",1146582,21,7,31,7,0,0,20,0,2,97.92459,0,"Yes"
"1882","NantHealth Inc","NH","35101010",1146590,78,29,192,72,51,8,115,15,2,325.96140486667,0,"Yes"
"1883","LSI Industries  Inc.","LYTS","20102010",1146592,292,217,219,98,29,1,10,3,14,216.81387,0,"Yes"
"1884","FuelCell Energy Inc","FCEL","20104020",1146603,92,90,66,38,21,8,4,13,-22,454.4204775,0,"Yes"
"1885","Fortress Biotech Inc","FBIO","35202010",1146604,62,15,153,53,4,9,0,81,-85,198.04963926431,0,"Yes"
"1886","Cidara Therapeutics Inc","CDTX","35201010",1146613,16,0,49,4,0,0,0,69,-65,96.82462282967,0,"Yes"
"1887","Applied Genetic Technologies Corp","AGTC","35201010",1146621,0,0,38,12,1,3,0,45,-51,123.6560149584,0,"Yes"
"1888","Agile Therapeutics Inc","AGRX","35202010",1146622,35,0,44,14,0,0,0,44,0,269.34924513939,0,"Yes"
"1889","AgroFresh Solutions Inc","AGFS","15101030",1146623,175,48,161,27,639,6,6,15,60,107.58165850211,0,"Yes"
"1890","HC2 Holdings Inc","HCHC","20105010",1146683,1092,853,573,429,86,1,48,0,9,166.57396111319,3e-04,"Yes"
"1891","Stoke Therapeutics Inc","STOK","35201010",1355258,0,0,30,5,0,0,0,45,-64,1775.43635276164,0,"Yes"
"1892","Personalis Inc","PSNL","35201010",1355259,81,60,57,33,0,0,0,37,-48,1524.59062716261,0,"Yes"
"1893","Prevail Therapeutics Inc","PRVL","35201010",1355260,0,0,37,12,0,0,0,74,-89,420.93330314037,0,"Yes"
"1894","Phreesia Inc","PHR","45103020",1355261,146,40,122,56,10,3,0,20,16,2210.92380992137,0,"Yes"
"1895","Sunnova Energy International Inc","NOVA","20104020",1355262,224,94,281,2471,0,9,0,0,-795,4778.81555079304,0,"Yes"
"1896","Morphic Holding Inc","MORF","35202010",1355263,42,0,27,0,0,0,0,99,-68,1143.10325057397,0,"Yes"
"1897","Kura Sushi USA Inc","KRUS","25301040",1355265,52,55,30,68,0,19,0,0,-44,148.45347037066,0,"Yes"
"1898","Health Catalyst Inc","HCAT","35101010",1355267,226,106,192,16,25,1,3,63,-15,1860.98223815217,0,"Yes"
"1899","Fulcrum Therapeutics Inc","FULC","35201010",1355268,7,0,29,13,0,0,0,89,0,437.52946123737,0,"Yes"
"1900","Castle Biosciences Inc","CSTL","35101020",1355269,82,13,85,10,0,2,0,13,-5,994.4493255,0,"Yes"
"1901","Cambium Networks Corp","CMBM","45201020",1355270,309,155,191,40,14,4,6,48,37,674.85578931795,0,"Yes"
"1902","Atreca Inc","BCEL","35201010",1355271,0,0,42,19,0,0,0,79,-98,622.18823846666,0,"Yes"
"1903","Applied Therapeutics Inc","APLT","35201010",1355273,0,0,12,0,0,0,0,0,0,603.54761477873,0,"Yes"
"1904","AssetMark Financial Holdings Inc","AMK","40203010",1355274,331,129,418,13,721,35,327,0,84,1844.85935441099,0,"Yes"
"1905","Medallia Inc","MDLA","45103020",1355277,473,148,519,85,21,0,79,84,94,4432.280936,0,"Yes"
"1906","Dynatrace Inc","DT","45102010",1355278,673,103,827,52,194,62,1225,86,184,11162.3764675374,0,"Yes"
"1907","Change Healthcare Inc","CHNG","45102010",1355279,3073,1303,2487,0,4346,129,3778,162,889,5940.92801806701,0.0014,"Yes"
"1908","Avantor Inc","AVTR","35101020",1355280,6652,4453,3507,970,6358,204,3878,0,1178,17024.8493461544,0.1667,"Yes"
"1909","Adaptive Biotechnologies Corp","ADPT","35201010",1355281,160,38,192,52,13,632,114,122,-101,7813.5580608768,0,"Yes"
"1910","Urogen Pharma Ltd","URGN","35201010",1355386,53,0,154,5,0,0,0,89,-2526,488.65314839103,0,"Yes"
"1911","Liberty Latin America Ltd","LILA","50102010",1355388,4353,999,2361,9147,1564,155,5017,0,7758,2514.96375804787,0.0023,"Yes"
"1912","Wave Life Sciences Ltd","WVE","35201010",1355389,54,0,114,45,0,0,0,112,266,464.60998075627,0,"Yes"
"1913","Horizon Therapeutics PLC","HZNP","35202010",1355404,2957,622,2379,60,2690,65,570,197,946,17648.9931668525,0.0014,"Yes"
"1914","Lendingtree Inc","TREE","40202010",1355406,1068,66,2017,113,369,4,625,37,138,3732.29197703659,1e-04,"Yes"
"1915","Five Below Inc","FIVE","25503010",1355407,1931,1290,1079,1497,0,0,0,0,16,9239.59529519795,0.0014,"Yes"
"1916","SYNNEX Corporation","SNX","45202030",1355408,23070,20114,5085,1094,2166,591,3465,0,958,4096.12492213518,0.682,"Yes"
"1917","Nexstar Media Group Inc","NXST","50201020",1355409,4313,1853,2219,871,2329,134,1544,0,1282,4789.01424674486,0.0025,"Yes"
"1918","Entegris Inc","ENTG","45301010",1355410,2004,1060,766,1197,349,67,649,139,340,12583.3040686647,0.0022,"Yes"
"1919","World Wrestling Entertainment  Inc.","WWE","50202010",1355411,1088,0,541,558,-147,16,0,0,125,3700.71640281285,9e-04,"Yes"
"1920","Ciena Corporation","CIEN","45201020",1355412,3558,1915,1597,830,149,91,300,525,481,7193.52456922954,0.0026,"Yes"
"1921","ViaSat  Inc.","VSAT","45201020",1355413,2312,1635,1314,5231,235,268,96,129,-374,2138.9742202752,0.0017,"Yes"
"1922","Sinclair Broadcast Group Inc","SBGI","50201020",1355414,6268,3004,2660,2142,10364,228,6004,0,2555,2176.9447873186,0.1686,"Yes"
"1923","Avalara Inc","AVLR","45103020",1355415,618,164,681,62,21,0,66,121,80,12674.77336047,0,"Yes"
"1924","Zscaler Inc","ZS","45103020",1355416,612,126,632,162,25,40,32,101,207,25976.262004505,0,"Yes"
"1925","AmeriCold Realty Trust","COLD","60101040",1355417,1970,1413,350,3131,25,92,186,0,494,9080.11457929576,0.0046,"Yes"
"1926","Roku Inc","ROKU","50202010",1355418,2391,1317,777,288,1,0,1,509,178,42703.1575586858,0.003,"Yes"
"1927","Carvana Co","CVNA","25504050",1355419,7937,6697,1871,660,9,179,9,0,-905,12202.23809,0.4874,"Yes"
"1928","Alteryx Inc","AYX","45103020",1355420,568,46,676,44,10,46,13,87,156,8983.31496848117,0,"Yes"
"1929","Coupa Software Inc","COUP","45103020",1355421,523,149,489,74,163,30,560,102,160,22889.7836274024,0,"Yes"
"1930","Trade Desk Inc","TTD","45102030",1355422,1085,226,673,230,8,0,0,162,366,53050.6323198403,3e-04,"Yes"
"1931","Cree  Inc.","CREE","45301020",1355423,644,429,641,2450,179,13,530,128,-327,10866.528151803,0,"Yes"
"1932","Planet Fitness Inc","PLNT","25301030",1355424,694,320,211,321,234,54,199,0,185,6532.5107276226,0,"Yes"
"1933","Ollie's Bargain Outlet Holdings Inc","OLLI","25504040",1355425,1781,1070,943,562,230,0,444,0,154,5107.139614962,0.0014,"Yes"
"1934","Etsy Inc","ETSY","25503010",1355426,1825,501,1065,318,287,24,200,236,554,22792.4542040463,0.0013,"Yes"
"1935","New Relic Inc","NEWR","45103020",1355427,664,158,975,267,14,57,47,175,68,3814.6867814532,0,"Yes"
"1936","HubSpot Inc","HUBS","45103020",1355428,1063,183,1269,382,30,152,32,250,158,12565.3551888745,1e-04,"Yes"
"1937","Paylocity Holding Corp","PCTY","45103020",1355429,627,185,595,191,51,46,22,72,97,10823.250263303,0,"Yes"
"1938","Woodward Inc","WWD","20106020",1355430,2372,1749,602,1830,806,13,1050,127,342,7556.39941750089,0.0038,"Yes"
"1939","New York Times Co","NYT","50201040",1355431,1918,725,2492,1550,3,0,138,0,213,8828.04608449521,6e-04,"Yes"
"1940","Cousins Properties Inc","CUZ","60101040",1355432,750,208,112,6293,253,49,1,0,416,5512.35541944942,0,"Yes"
"1941","CACI International Inc","CACI","45102010",1355433,6167,3964,3658,705,446,270,3740,0,475,6185.018041389,0.1336,"Yes"
"1942","Centene Corp","CNC","35102030",1355435,115291,95645,34928,4031,2575,918,8070,0,5559,35245.9090197579,1,"Yes"
"1943","Arcosa Inc","ACA","20103010",1359302,1926,1553,547,1568,0,6,753,0,162,2583.80624819117,0.0028,"Yes"
"1944","Realogy Holdings Corp","RLGY","60102040",1359303,6346,5375,1356,1388,1917,377,3321,0,575,1641.38915416,0.1916,"Yes"
"1945","Visteon Corp","VC","25101010",1359305,3122,2745,628,938,69,62,39,309,73,3413.12300835696,0.0056,"Yes"
"1946","CNX Resources Corp","CNX","10102050",1359307,1628,493,427,10828,96,131,796,37,409,2370.93594226937,0.0024,"No"
"1947","Kontoor Brands Inc","KTB","25203010",1359308,2442,1419,2214,725,52,70,212,0,205,2700.9802312234,0.0011,"Yes"
"1948","Retail Value Inc","RVI","60101040",1359309,143,64,84,1433,17,2,0,0,1,294.74616212484,0,"Yes"
"1949","Conduent Inc","CNDT","45102010",1359310,4041,3105,1507,1556,296,228,1044,7,242,1176.24366134177,0.0033,"Yes"
"1950","Adient PLC","ADNT","25101010",1359311,14810,13747,608,5550,402,406,2134,388,822,3528.01239336,0.5334,"Yes"
"1951","Welbilt Inc","WBT","20106020",1359312,1234,791,728,499,532,32,979,37,118,1603.8667946028,6e-04,"Yes"
"1952","Uniti Group Inc","UNIT","60101080",1359313,1084,0,321,9018,609,124,791,0,586,2527.49288178584,5e-04,"Yes"
"1953","RPC  Inc.","RES","10101020",1359314,588,434,484,1452,0,0,32,0,13,865.24208067545,0,"No"
"1954","Terex Corporation","TEX","20106010",1359315,3334,2716,1450,358,1,91,46,57,-17,2053.37719353876,0.0027,"Yes"
"1955","Michaels Companies Inc","MIK","25504040",1359316,5168,3261,3996,3316,66,1076,94,0,462,1915.494870534,0.0899,"Yes"
"1956","Alector Inc","ALEC","35201010",1359319,34,0,94,77,0,0,0,184,-120,1156.70923197897,0,"Yes"
"1957","Legacy Housing Corp","LEGH","25201030",1359321,182,111,62,29,0,0,0,0,34,359.49441538426,0,"Yes"
"1958","Signet Jewelers Ltd.","SIG","25504010",1362048,5022,3322,5662,3489,273,327,258,0,452,1458.6125274,0.0526,"Yes"
"1959","DXC Technology Co","DXC","45102010",1362050,17475,13613,4609,8793,5985,1210,2106,0,1646,6240.66814098,0.5888,"Yes"
"1960","Intelligent Systems Corporation","INS","40203040",1372470,54,18,9,0,0,0,0,7,15,382.120784136,0,"Yes"
"1961","XOMA Corp","XOMA","35201010",1381758,10,0,61,0,0,0,0,0,0,319.93713,0,"Yes"
"1962","Veritone Inc","VERI","50201010",1381760,67,19,164,4,20,0,8,17,7,864.34389284916,0,"Yes"
"1963","Verastem Inc","VSTM","35201010",1381761,10,0,219,4,17,2,0,18,-16,426.61949934912,0,"Yes"
"1964","AVEO Pharmaceuticals  Inc.","AVEO","35201010",1381764,37,0,20,0,0,0,0,0,0,155.75957629076,0,"Yes"
"1965","Aquestive Therapeutics Inc","AQST","35202010",1381767,40,18,160,50,0,2,0,18,-52,264.73531404843,0,"Yes"
"1966","Aptinyx Inc","APTX","35202010",1381768,1,0,42,3,0,0,0,59,-66,229.33777723918,0,"Yes"
"1967","PFSweb  Inc.","PFSW","45102010",1381772,337,247,221,136,1,9,45,0,13,123.00014376,0,"Yes"
"1968","Nautilus  Inc.","NLS","25202010",1381773,550,323,395,75,45,2,0,20,53,527.10909800215,0,"Yes"
"1969","DURECT Corporation","DRRX","35201010",1381777,18,5,40,28,0,4,6,37,-30,403.91653749093,0,"Yes"
"1970","Crawford & Company","CRD.B","40301030",1381780,1002,726,648,216,136,30,77,0,41,377.86223134,1e-04,"Yes"
"1971","Harvard Bioscience  Inc.","HBIO","35101010",1381783,108,45,125,32,53,7,79,9,61,158.06252,0,"Yes"
"1972","Asure Software Inc","ASUR","45103020",1381784,67,24,105,30,98,1,106,4,9,115.09162,0,"Yes"
"1973","Turtle Beach Corp","HEAR","25201010",1381789,326,212,179,23,4,0,6,10,34,347.68757346182,0,"Yes"
"1974","Ovid Therapeutics Inc","OVID","35201010",1381795,3,0,61,0,0,0,0,51,0,167.97816926621,0,"Yes"
"1975","Moneygram International Inc","MGI","20201070",1381797,1290,695,881,710,1,2,442,0,-2893,611.45556970568,6e-04,"Yes"
"1976","Frontline Ltd","FRO","10102040",1381807,552,301,149,496,0,11,112,0,490,14118.6459336204,0,"No"
"1977","Arbor Realty Trust Inc","ABR","60101080",1381813,179,28,333,41,54,17,56,0,0,1699.29833970754,0,"Yes"
"1978","Brightview Holdings Inc","BV","20201070",1381846,2406,1759,1275,692,256,68,1847,0,152,1419.88553129994,0.0018,"Yes"
"1979","Evoqua Water Technologies Corp","AQUA","20201050",1381847,1448,988,900,827,404,49,504,13,131,2904.90068930413,9e-04,"Yes"
"1980","Cubic Corporation","CUB","20101010",1381848,1556,1103,797,361,227,57,795,50,163,2060.51713802746,0.0012,"Yes"
"1981","Jack in the Box Inc.","JACK","25301040",1381849,1107,453,1032,1016,0,880,39,0,207,2063.66981979184,2e-04,"Yes"
"1982","MAXIMUS  Inc.","MMS","20201070",1381850,3314,2592,978,404,231,0,839,0,323,4445.24073012114,0.0039,"Yes"
"1983","Medtronic PLC","MDT","35101020",1381851,30049,10186,29933,13708,18708,789,39100,2499,6414,152286.09816492,0.5585,"Yes"
"1984","TJX Companies Inc","TJX","25503020",1381852,32696,23282,23131,20432,0,1986,95,0,1584,78318.8109617284,0.7901,"Yes"
"1985","Copart  Inc.","CPRT","25504050",1381853,2474,1269,468,2684,48,88,346,0,319,27510.10742304,0.0052,"Yes"
"1986","Urban Outfitters  Inc.","URBN","25504010",1381854,3517,2617,2847,3411,0,0,0,0,3,2572.46479018724,0.0015,"Yes"
"1987","Aramark","ARMK","25301040",1381855,12835,11698,904,5161,2372,486,6439,0,222,9936.95620769238,0.519,"Yes"
"1988","Super Micro Computer  Inc.","SMCI","45202030",1381917,3314,2782,560,384,0,0,0,216,166,1709.7826069526,0.0068,"Yes"
"1989","Skyline Champion Corp","SKY","25201030",1403427,1281,1034,489,190,43,9,173,0,83,1737.0513513108,0.001,"Yes"
"1990","Cavco Industries  Inc.","CVCO","25201030",1411328,1055,834,302,123,15,8,75,0,0,1698.19761479729,4e-04,"Yes"
"1991","Fennec Pharmaceuticals Inc","FENC","35201010",1411337,108,0,11,0,0,0,0,0,0,199.92105185544,0,"Yes"
"1992","Kimball Electronics Inc","KE","45301020",1417769,1294,1185,129,405,26,2,21,18,13,401.25384,0.004,"Yes"
"1993","Nantkwest Inc","NK","35201010",1418075,0,0,105,103,0,0,0,75,-95,1232.48596425168,0,"Yes"
"1994","Power Integrations Inc","POWI","45301020",1424642,528,262,270,399,15,0,83,88,77,4526.11974519785,0,"Yes"
"1995","Clearfield Inc","CLFD","45201020",1424644,107,63,81,17,8,0,7,1,9,353.20099785135,0,"Yes"
"1996","1-800-Flowers.Com Inc","FLWS","25504040",1424645,1763,1026,1253,469,67,37,76,56,104,1493.00690268,0.001,"Yes"
"1997","Powell Industries  Inc.","POWL","20104010",1424647,487,400,203,258,0,0,1,5,25,376.13121295211,0,"Yes"
"1998","SurModics  Inc.","SRDX","35101020",1424648,101,15,69,68,14,0,26,56,8,540.27459,0,"Yes"
"1999","World Acceptance Corp.","WRLD","40202010",1424649,532,20,884,170,24,102,7,0,55,784.365260328,0,"Yes"
"2000","PC Connection  Inc.","CNXN","45202030",1424650,2706,2262,948,171,8,0,73,0,39,1149.42078626772,0.003,"Yes"
"2001","Mesa Laboratories  Inc.","MLAB","20106020",1424651,129,54,122,37,148,2,175,6,37,1170.24783,0,"Yes"
"2002","Manitowoc Company Inc","MTW","20106010",1424652,1538,1265,699,767,116,19,232,0,36,371.18754444401,0.0013,"Yes"
"2003","Johnson Controls International PLC","JCI","20104010",1424653,23032,15159,16367,5856,5264,389,16990,291,2536,32957.9246924636,0.463,"Yes"
"2004","Arthur J Gallagher & Co","AJG","40301030",1424654,6480,4143,0,950,2537,333,6620,0,1680,23182.4856057868,1,"Yes"
"2005","Federal Realty Investment Trust","FRT","60101040",1424655,876,336,118,7706,0,207,0,0,405,7473.43478893918,0,"Yes"
"2006","Air Products & Chemicals  Inc.","APD","15101010",1424656,9544,6238,2278,25766,456,205,820,71,-163,59748.6842322408,0.2625,"Yes"
"2007","BridgeBio Pharma Inc","BBIO","35202010",1424657,133,0,106,0,0,11,0,0,0,7600.66670107668,0,"Yes"
"2008","Hawkins  Inc.","HWKN","15101020",1424658,566,456,175,276,60,7,58,0,31,574.21523993344,0,"Yes"
"2009","Kimball International Inc","KBAL","20201060",1453071,592,0,561,284,12,1,11,0,0,453.70325,0,"Yes"
"2010","Campbell Soup Company","CPB","30202030",1680260,8449,5526,4072,0,3766,234,4481,87,1063,14412.1550592,0.4296,"Yes"
"2011","Viewray Inc","VRAY","35101010",2191178,73,61,207,59,0,8,0,18,-91,631.28026563056,0,"Yes"
"2012","GoHealth Inc","GOCO","40301030",2191181,1183,271,378,6,1228,17,606,0,353,3533.64820692453,9e-04,"Yes"
"2013","Ncino Inc","NCNO","45103020",2191182,200,80,118,23,26,0,55,45,-26,7042.68901607411,0,"Yes"
"2014","Albertsons Companies Inc","ACI","30101030",2191183,69437,49182,48698,21767,2092,3355,1186,0,1642,8709.4406742,0.9118,"Yes"
"2015","Berkeley Lights Inc","BLI","35101020",2191184,87,25,55,37,0,5,0,69,-36,4672.34289590952,0,"Yes"
"2016","Bigcommerce Holdings  Inc.","BIGC","45103020",2191185,175,40,201,32,0,12,0,57,-22,5403.3703382448,0,"Yes"
"2017","Jamf Holding Corp","JAMF","45103020",2191186,315,63,254,29,247,26,569,63,48,3628.85114634046,0,"Yes"
"2018","Oak Street Health  Inc.","OSH","35102015",2191187,1228,1052,368,106,3,102,10,0,-66,13285.5549009081,0.0011,"Yes"
"2019","Azek Company Inc","AZEK","20102010",2191188,1011,634,691,486,376,3,1038,10,22,5359.42270602082,1e-04,"Yes"
"2020","Vroom Inc","VRM","45102030",2191189,2466,2257,466,57,0,0,78,0,-224,4402.3725876266,0.0052,"Yes"
"2021","Madison Square Garden Entertainment Corp","MSGE","25301030",2191190,266,323,837,0,214,0,74,0,-636,1560.0663800316,0,"Yes"
"2022","Reynolds Consumer Products Inc","REYN","15103010",2191191,3242,2271,782,1282,1123,39,1879,34,480,6290.6172218706,0.0047,"Yes"
"2023","Dun & Bradstreet Holdings Inc","DNB","20202020",2191192,1819,519,2172,238,5712,87,2881,0,795,10847.6514646984,6e-04,"Yes"
"2024","Rocket Companies Inc","RKT","40202010",2191193,10642,0,11778,713,2918,89,40,0,4003,40834.0337827847,1,"Yes"
"2025","Carlyle Group Inc","CG","40203010",2191194,2577,489,3792,0,55,263,19,0,1941,10882.071675968,7e-04,"Yes"
"2026","Royalty Pharma plc","RPRX","35202010",2191195,1991,0,162,0,0,0,0,0,0,27313.3883263575,0.0102,"Yes"
"2027","Vertiv Holdings Co","VRT","20104010",2191196,4647,0,6,0,0,0,0,0,0,1641.3375,1,"Yes"
"2028","Envista Holdings Corp","NVST","35101020",2191197,2603,1173,3050,905,1236,127,3179,142,256,5111.79863480748,9e-04,"Yes"
"2029","Cloudflare Inc","NET","45102010",2191198,561,127,596,211,0,25,4,128,57,26494.5141860727,0,"Yes"
"2030","Tradeweb Markets Inc","TW","40203040",2191199,937,0,1247,0,1454,0,2694,0,366,15227.2908523374,0,"Yes"
"2031","Bill.com Holdings Inc","BILL","45103020",2191200,195,47,167,44,0,0,0,61,641,11271.5788174008,0,"Yes"
"2032","PPD Inc","PPD","35201010",2191201,5100,3096,2718,1241,925,184,1830,0,651,12490.7251177862,0.0602,"Yes"
"2033","Howmet Aerospace Inc","HWM","15104010",2191202,5492,4110,1722,12419,638,186,4359,25,903,11094.5961660269,0.067,"Yes"
"2034","10X Genomics Inc","TXG","35101020",2191203,490,98,400,138,0,11,0,160,-77,14464.8439691895,0,"Yes"
"2035","Fastly Inc","FSLY","45102010",2191204,381,151,293,146,1,41,0,76,-63,10463.4096657546,0,"Yes"
"2036","Apollo Global Management Inc","APO","40203010",2191205,2653,0,3411,175,20,159,93,0,2329,21807.2989614707,8e-04,"Yes"
"2037","Solaredge Technologies Inc","SEDG","20104020",2191206,1726,1155,382,293,166,0,291,146,182,14498.7465797236,0.0032,"Yes"
"2038","Peloton Interactive Inc","PTON","25202010",2191207,3937,2315,1404,798,16,0,40,171,448,38808.8145363513,0.0034,"Yes"
"2039","Slack Technologies Inc","WORK","45103020",2191208,893,106,1104,341,14,0,50,351,316,27836.052925824,0,"Yes"
"2040","NortonLifeLock Inc","NLOK","45103020",2191209,2505,323,3890,568,59,70,143,281,884,11730.3755424,6e-04,"Yes"
"2041","Datadog Inc","DDOG","45103020",2191210,801,169,491,122,1,0,9,217,121,33139.4005857951,0,"Yes"
"2042","Healthpeak Properties Inc","PEAK","60101080",2191211,2327,1055,282,13804,331,147,0,0,-828,18253.4613592239,0.0076,"Yes"
"2043","ViacomCBS Inc","VIAC","50201020",2191212,27624,17541,15523,7927,2952,1091,16749,0,4007,21956.1061357663,0.5539,"Yes"
"2044","Pinterest Inc","PINS","45102030",2191213,2320,583,1538,375,7,0,6,908,1100,46537.647900692,0.0014,"Yes"
"2045","KKR & Co Inc","KKR","40203010",2191214,4613,203,6424,1064,0,120,83,0,3757,33995.5413332826,9e-04,"Yes"
"2046","Crowdstrike Holdings Inc","CRWD","45102010",2191215,859,212,637,245,0,0,7,166,231,41610.5428871382,0,"Yes"
"2047","Otis Worldwide Corp","OTIS","20104020",2191216,13201,9188,4839,1962,597,0,1772,162,1342,27759.6207792179,1,"Yes"
"2048","Carrier Global Corp","CARR","20104010",2191217,18287,12839,7506,3609,1164,0,9444,396,1876,32986.702912183,1,"Yes"
"2049","Trane Technologies PLC","TT","20104010",2191218,13121,9023,8085,4425,4618,357,7571,185,1518,33752.9499238058,0.3178,"Yes"
"2050","Zoom Video Communications Inc","ZM","45103020",2191219,2586,315,693,153,0,0,0,182,924,119256.617861354,0.0038,"Yes"
"2051","Raytheon Technologies Corp","RTX","20101010",2191220,67106,52202,20517,28886,29905,1685,54451,2675,7533,109582.787931753,0.7012,"Yes"
"2052","Duck Creek Technologies Inc","DCT","45103020",2191221,246,105,227,0,77,0,259,48,1123,4810.9185477,0,"Yes"
"2053","DZS Inc","DZSI","45202030",2199910,320,217,159,42,13,4,4,40,-7,273.5823,0,"Yes"
"2054","Marinus Pharmaceuticals Inc","MRNS","35202010",2199911,11,0,32,5,0,0,0,59,-54,438.60030727935,0,"Yes"
"2055","Emerald Holding Inc","EEX","20201070",2199912,259,101,280,28,402,14,1056,0,52,299.67212870414,0,"Yes"
